,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.125,USD,2019-02-08,CD,2019-02-20,4,2019-02-28,2019-02-21,FANG
1,0.1875,USD,2019-05-07,CD,2019-05-24,4,2019-06-04,2019-05-28,FANG
2,0.1875,USD,2019-08-07,CD,2019-08-15,4,2019-08-26,2019-08-16,FANG
3,0.1875,USD,2019-11-05,CD,2019-11-14,4,2019-11-22,2019-11-15,FANG
4,0.375,USD,2020-02-18,CD,2020-03-02,4,2020-03-10,2020-03-03,FANG
5,0.375,USD,2020-05-04,CD,2020-05-13,4,2020-05-21,2020-05-14,FANG
6,0.375,USD,2020-08-04,CD,2020-08-12,4,2020-08-20,2020-08-13,FANG
7,0.375,USD,2020-11-02,CD,2020-11-10,4,2020-11-19,2020-11-12,FANG
8,0.4,USD,2021-02-22,CD,2021-03-03,4,2021-03-11,2021-03-04,FANG
9,0.4,USD,2021-05-03,CD,2021-05-12,4,2021-05-20,2021-05-13,FANG
10,0.45,USD,2021-08-02,CD,2021-08-11,4,2021-08-19,2021-08-12,FANG
11,0.5,USD,2021-11-01,CD,2021-11-10,4,2021-11-18,2021-11-11,FANG
12,0.6,USD,2022-02-22,CD,2022-03-03,4,2022-03-11,2022-03-04,FANG
13,0.7,USD,2022-05-02,CD,2022-05-11,4,2022-05-23,2022-05-12,FANG
14,2.35,USD,2022-05-02,SC,2022-05-11,0,2022-05-23,2022-05-12,FANG
